grad_rate,name,carnegie_class,total_enroll,pct_admitted,n_bach,n_mast,n_doc,tuition_fees,percent_fin_aid,avg_salary,n_grad,good_grad_rate
24,Coppin State University,Master's Colleges & Universities: Small Programs,2006,45,330,41,0,6809,98,81122,41,0
33,Frederick Community College,Associate's Colleges: High Career & Technical-Mixed Traditional/Nontraditional,5811,NA,NA,NA,NA,3772,64,69665,NA,0
49,Frostburg State University,Master's Colleges & Universities: Larger Programs,4067,88,927,225,10,9594,99,76620,235,0
32,Garrett College,Associate's Colleges: High Transfer-High Traditional,579,NA,NA,NA,NA,3976,99,65328,NA,0
58,Goucher College,Baccalaureate Colleges: Arts & Sciences Focus,1727,80,241,158,0,48200,100,68593,158,0
35,Hagerstown Community College,Associate's Colleges: Mixed Transfer/Career & Technical-Mixed Traditional/Nontraditional,3504,NA,NA,NA,NA,4320,99,61130,NA,0
29,Harford Community College,Associate's Colleges: Mixed Transfer/Career & Technical-High Traditional,4591,NA,NA,NA,NA,3827,56,63401,NA,0
61,Hood College,Master's Colleges & Universities: Larger Programs,2056,78,219,186,20,43140,100,72053,206,0
23,Howard Community College,Associate's Colleges: High Transfer-Mixed Traditional/Nontraditional,8177,NA,NA,NA,NA,4080,68,75046,NA,0
94,Johns Hopkins University,Doctoral Universities: Very High Research Activity,31275,7,1437,7519,605,59220,67,153314,8124,1
61,Lincoln College of Technology-Columbia,Associate's Colleges: High Career & Technical-High Traditional,947,NA,NA,NA,NA,NA,92,46182,NA,0
79,Loyola University Maryland,Master's Colleges & Universities: Larger Programs,5238,83,886,585,1,52130,99,82562,586,1
19,University of Maryland Global Campus,Master's Colleges & Universities: Larger Programs,55838,NA,7904,3973,0,7704,67,76223,3973,0
NA,"University of Maryland, Baltimore",Special Focus Four-Year: Research Institutions,6931,NA,410,1062,88,NA,NA,114333,1150,NA
70,University of Maryland-Baltimore County,Doctoral Universities: Very High Research Activity,13991,81,2674,687,103,12280,94,104859,790,1
89,University of Maryland-College Park,Doctoral Universities: Very High Research Activity,40792,45,8448,2460,608,10955,63,135474,3068,1
77,Maryland Institute College of Art,"Special Focus Four-Year: Arts, Music & Design Schools",1952,80,366,362,0,52040,100,91883,362,1
37,University of Maryland Eastern Shore,Doctoral Universities: High Research Activity,2518,82,300,48,22,8724,100,86910,70,0
28,Montgomery College,Associate's Colleges: High Transfer-Mixed Traditional/Nontraditional,17137,NA,NA,NA,NA,5322,63,85773,NA,0
46,Morgan State University,Doctoral Universities: High Research Activity,9101,85,964,259,70,8008,99,91159,329,0
65,Mount St. Mary's University,Master's Colleges & Universities: Medium Programs,2456,80,441,175,0,44750,100,73225,175,0
43,Ner Israel Rabbinical College,Special Focus Four-Year: Faith-Related Institutions,422,72,49,12,2,13200,76,66549,14,0
60,Notre Dame of Maryland University,Master's Colleges & Universities: Larger Programs,1733,70,270,275,12,39746,100,62482,287,0
17,Prince George's Community College,Associate's Colleges: High Transfer-Mixed Traditional/Nontraditional,10244,NA,NA,NA,NA,3746,86,74601,NA,0
69,Salisbury University,Master's Colleges & Universities: Larger Programs,7123,91,1664,331,4,10188,97,83800,335,1
71,St. Mary's College of Maryland,Baccalaureate Colleges: Arts & Sciences Focus,1520,77,357,24,0,15124,96,76483,24,1
77,St. John's College,Baccalaureate Colleges: Arts & Sciences Focus,541,50,106,31,0,36170,89,59388,31,1
70,Towson University,Master's Colleges & Universities: Larger Programs,19793,79,4529,900,16,10464,84,82672,916,1
NA,Maryland University of Integrative Health,Special Focus Four-Year: Other Health Professions Schools,701,NA,0,218,0,NA,NA,54793,218,NA
90,United States Naval Academy,Baccalaureate Colleges: Arts & Sciences Focus,4450,11,1114,0,0,NA,NA,116141,0,1
65,Stevenson University,Master's Colleges & Universities: Larger Programs,3483,84,732,204,0,38168,100,75736,204,0
71,Washington College,Baccalaureate Colleges: Arts & Sciences Focus,955,75,243,0,0,49768,98,74475,0,1
66,McDaniel College,Master's Colleges & Universities: Larger Programs,3000,82,299,218,0,47311,100,70693,218,1
20,Wor-Wic Community College,Associate's Colleges: High Career & Technical-High Traditional,2438,NA,NA,NA,NA,3624,88,62006,NA,0
64,Hult International Business School,Special Focus Four-Year: Business & Management Schools,2176,48,147,983,0,49950,74,101827,983,0
37,American International College,Doctoral/Professional Universities,2010,89,271,375,0,39370,95,69813,375,0
92,Amherst College,Baccalaureate Colleges: Arts & Sciences Focus,1898,7,505,0,0,61160,66,126412,0,1
40,Anna Maria College,Master's Colleges & Universities: Medium Programs,1436,70,267,246,0,40208,100,61241,246,0
72,Assumption University,Master's Colleges & Universities: Medium Programs,2059,82,465,166,0,45900,100,80954,166,1
93,Babson College,Special Focus Four-Year: Business & Management Schools,3989,22,564,480,0,54944,70,159485,480,1
25,Boston Baptist College,Special Focus Four-Year: Faith-Related Institutions,43,100,3,0,0,12600,100,20000,0,0
47,Bay Path University,Master's Colleges & Universities: Larger Programs,2465,76,353,513,0,35781,97,82284,513,0
24,Bay State College,Baccalaureate Colleges: Diverse Fields,224,48,57,0,0,29500,100,55584,0,0
88,Bentley University,Master's Colleges & Universities: Larger Programs,5165,58,1157,523,7,54910,84,137700,530,1
69,Berklee College of Music,Master's Colleges & Universities: Larger Programs,8282,54,1349,370,0,46800,67,96176,370,1
16,Berkshire Community College,Associate's Colleges: Mixed Transfer/Career & Technical-High Traditional,1367,NA,NA,NA,NA,5492,99,64731,NA,0
23,Boston Architectural College,"Special Focus Four-Year: Arts, Music & Design Schools",747,NA,37,130,0,22144,71,63805,130,0
NA,Boston Graduate School of Psychoanalysis Inc,Special Focus Four-Year: Other Health Professions Schools,155,NA,0,16,0,NA,NA,59222,16,NA
91,Boston College,Doctoral Universities: Very High Research Activity,15287,17,2340,1559,186,61706,53,149402,1745,1
89,Boston University,Doctoral Universities: Very High Research Activity,36714,14,4736,5692,564,59816,53,139765,6256,1
87,Brandeis University,Doctoral Universities: Very High Research Activity,5581,39,855,686,77,60391,68,125996,763,1
56,Bridgewater State University,Master's Colleges & Universities: Larger Programs,9604,88,1842,480,0,10732,94,92397,480,0
22,Bristol Community College,Associate's Colleges: High Transfer-High Traditional,5822,NA,NA,NA,NA,5208,84,59781,NA,0
17,Bunker Hill Community College,Associate's Colleges: High Transfer-High Traditional,8439,NA,NA,NA,NA,5280,75,68686,NA,0
0,Cambridge College,Master's Colleges & Universities: Larger Programs,2135,NA,233,626,5,16442,100,69662,631,0
23,Cape Cod Community College,Associate's Colleges: Mixed Transfer/Career & Technical-Mixed Traditional/Nontraditional,2336,NA,NA,NA,NA,5352,99,64489,NA,0
100,Laboure College of Healthcare,Special Focus Four-Year: Other Health Professions Schools,983,39,109,0,0,32813,NA,59267,0,1
76,Clark University,Doctoral Universities: High Research Activity,3770,50,559,520,29,50302,97,104603,549,1
NA,Conway School of Landscape Design,Special Focus Four-Year: Other Special Focus Institutions,18,NA,0,18,0,NA,NA,46378,18,NA
52,Curry College,Master's Colleges & Universities: Small Programs,2052,88,550,91,0,43650,100,94372,91,0
45,Dean College,Baccalaureate Colleges: Diverse Fields,1189,76,222,0,0,42346,100,65000,0,0
49,Eastern Nazarene College,Master's Colleges & Universities: Small Programs,535,62,119,68,0,27212,100,55663,68,0
77,Emerson College,Master's Colleges & Universities: Larger Programs,5891,43,945,558,0,52190,83,93031,558,1
66,Emmanuel College,Baccalaureate Colleges: Arts & Sciences Focus,2012,80,448,40,0,43572,100,89438,40,1
78,Endicott College,Master's Colleges & Universities: Larger Programs,4006,73,685,501,30,36614,98,99806,531,1
26,Fisher College,Baccalaureate Colleges: Diverse Fields,1421,74,188,34,0,33500,97,62260,34,0
56,Fitchburg State University,Master's Colleges & Universities: Larger Programs,6554,86,804,1051,0,10830,89,90068,1051,0
55,Framingham State University,Master's Colleges & Universities: Larger Programs,4111,87,718,500,0,11380,89,91332,500,0
44,Benjamin Franklin Cummings Institute of Technology,Baccalaureate/Associate's Colleges: Mixed Baccalaureate/Associate's,513,NA,10,0,0,17550,84,65034,0,0
69,Gordon College,Baccalaureate Colleges: Arts & Sciences Focus,1628,92,325,97,0,26250,100,62924,97,1
NA,Gordon-Conwell Theological Seminary,Special Focus Four-Year: Faith-Related Institutions,1334,NA,0,300,0,NA,NA,62508,300,NA
32,Greenfield Community College,Associate's Colleges: Mixed Transfer/Career & Technical-Mixed Traditional/Nontraditional,1419,NA,NA,NA,NA,5642,71,68868,NA,0
60,Hampshire College,Baccalaureate Colleges: Arts & Sciences Focus,508,69,167,0,0,52738,100,84165,0,0
98,Harvard University,Doctoral Universities: Very High Research Activity,30631,3,1697,5791,791,55587,72,202873,6582,1
NA,Hebrew College,Special Focus Four-Year: Faith-Related Institutions,212,NA,1,22,0,NA,NA,71477,22,NA
60,Hellenic College-Holy Cross Greek Orthodox School of Theology,Baccalaureate Colleges: Arts & Sciences Focus,131,58,12,21,0,22040,100,66073,21,0
91,College of the Holy Cross,Baccalaureate Colleges: Arts & Sciences Focus,3083,36,757,0,0,56540,72,105816,0,1
25,Holyoke Community College,Associate's Colleges: High Transfer-High Traditional,3550,NA,NA,NA,NA,5378,99,67682,NA,0
61,Lasell University,Master's Colleges & Universities: Larger Programs,1591,73,300,243,0,42000,100,76875,243,0
NA,Lawrence Memorial Hospital School of Nursing,Special Focus Two-Year: Health Professions,225,NA,NA,NA,NA,27080,NA,80444,NA,NA
61,Lesley University,Doctoral/Professional Universities,3406,86,463,617,29,29900,100,78767,646,0
82,Longy School of Music of Bard College,"Special Focus Four-Year: Arts, Music & Design Schools",315,89,0,45,0,48800,100,45370,45,1
71,University of Massachusetts-Lowell,Doctoral Universities: High Research Activity,17153,86,2837,1361,120,15698,91,117199,1481,1
83,University of Massachusetts-Amherst,Doctoral Universities: Very High Research Activity,32229,64,6276,1752,349,16439,91,116437,2101,1
51,University of Massachusetts-Boston,Doctoral Universities: High Research Activity,15586,81,2754,812,84,14737,99,105028,896,0
18,Massachusetts Bay Community College,Associate's Colleges: Mixed Transfer/Career & Technical-High Nontraditional,3497,NA,NA,NA,NA,5376,78,69604,NA,0
61,MCPHS University,Special Focus Four-Year: Other Health Professions Schools,6824,88,932,761,7,35800,99,99348,768,0
66,Massachusetts College of Art and Design,"Special Focus Four-Year: Arts, Music & Design Schools",1939,79,351,56,0,14200,100,92663,56,1
95,Massachusetts Institute of Technology,Doctoral Universities: Very High Research Activity,11858,4,1100,1990,735,55878,79,196757,2725,1
79,Massachusetts Maritime Academy,Master's Colleges & Universities: Small Programs,1425,89,316,51,0,14389,99,82451,51,1
NA,University of Massachusetts Chan Medical School,Special Focus Four-Year: Research Institutions,1352,NA,0,44,53,NA,NA,96525,97,NA
NA,William James College,Special Focus Four-Year: Other Health Professions Schools,897,NA,11,172,0,NA,NA,81414,172,NA
19,Massasoit Community College,Associate's Colleges: High Career & Technical-Mixed Traditional/Nontraditional,4810,NA,NA,NA,NA,5160,71,63160,NA,0
68,Merrimack College,Master's Colleges & Universities: Larger Programs,5505,75,932,721,0,46916,98,96652,721,1
NA,MGH Institute of Health Professions,Special Focus Four-Year: Other Health Professions Schools,1353,NA,186,244,7,NA,NA,87947,251,NA
16,Middlesex Community College,Associate's Colleges: High Transfer-Mixed Traditional/Nontraditional,7770,NA,NA,NA,NA,6048,99,67517,NA,0
62,Montserrat College of Art,Baccalaureate Colleges: Diverse Fields,296,NA,74,0,0,36450,100,59338,0,0
83,Mount Holyoke College,Baccalaureate Colleges: Arts & Sciences Focus,2392,40,577,60,0,56518,83,96489,60,1
27,Mount Wachusett Community College,Associate's Colleges: High Career & Technical-High Traditional,2868,NA,NA,NA,NA,5668,73,70420,NA,0
81,The New England Conservatory of Music,"Special Focus Four-Year: Arts, Music & Design Schools",796,38,85,103,4,53730,96,53652,107,1
NA,New England College of Optometry,Special Focus Four-Year: Other Health Professions Schools,536,NA,0,9,0,NA,NA,92519,9,NA
NA,New England Law-Boston,Special Focus Four-Year: Law Schools,1060,NA,0,0,0,NA,NA,106189,0,NA
58,Nichols College,Master's Colleges & Universities: Medium Programs,1403,85,295,109,0,37300,100,87618,109,0
56,Massachusetts College of Liberal Arts,Baccalaureate Colleges: Arts & Sciences Focus,938,92,269,38,0,11433,100,84002,38,0
21,North Shore Community College,Associate's Colleges: Mixed Transfer/Career & Technical-High Traditional,4391,NA,NA,NA,NA,5352,68,65726,NA,0
91,Northeastern University,Doctoral Universities: Very High Research Activity,30013,7,4461,4022,254,57592,85,130726,4276,1
19,Northern Essex Community College,Associate's Colleges: Mixed Transfer/Career & Technical-High Traditional,4339,NA,NA,NA,NA,5544,84,67015,NA,0
75,College of Our Lady of the Elms,Master's Colleges & Universities: Medium Programs,1275,91,283,86,0,39449,98,64939,86,1
16,Quincy College,Associate's Colleges: High Transfer-High Nontraditional,2602,NA,0,0,0,7176,71,80489,0,0
21,Quinsigamond Community College,Associate's Colleges: Mixed Transfer/Career & Technical-High Traditional,6481,NA,NA,NA,NA,5830,78,69086,NA,0
67,Regis College,Master's Colleges & Universities: Larger Programs,3230,89,387,541,0,44809,100,80123,541,1
14,Roxbury Community College,Associate's Colleges: High Transfer-High Traditional,1214,NA,NA,NA,NA,5784,83,65082,NA,0
NA,Saint John's Seminary,Special Focus Four-Year: Faith-Related Institutions,103,NA,4,28,0,NA,NA,37132,28,NA
55,Salem State University,Master's Colleges & Universities: Larger Programs,6539,93,1237,527,0,11675,99,90448,527,0
74,Simmons University,Doctoral/Professional Universities,5710,76,412,1413,8,43062,100,74959,1421,1
65,Bard College at Simon's Rock,Baccalaureate/Associate's Colleges: Mixed Baccalaureate/Associate's,298,95,47,0,0,63583,98,68364,0,0
89,Smith College,Baccalaureate Colleges: Arts & Sciences Focus,2873,23,596,128,10,56114,74,113103,138,1
73,Springfield College,Doctoral/Professional Universities,2921,76,473,315,6,40480,100,71749,321,1
22,Springfield Technical Community College,Associate's Colleges: High Career & Technical-High Traditional,3945,NA,NA,NA,NA,5520,98,64077,NA,0
55,University of Massachusetts-Dartmouth,Doctoral Universities: High Research Activity,7457,96,1233,454,30,14408,98,108523,484,0
79,Stonehill College,Baccalaureate Colleges: Arts & Sciences Focus,2543,73,557,31,0,47808,100,90165,31,1
60,Suffolk University,Doctoral/Professional Universities,6734,87,1116,671,4,41648,97,108611,675,0
94,Tufts University,Doctoral Universities: Very High Research Activity,13431,10,1479,1356,143,63000,46,122053,1499,1
90,Wellesley College,Baccalaureate Colleges: Arts & Sciences Focus,2447,14,563,0,0,60752,65,118713,0,1
69,Wentworth Institute of Technology,Master's Colleges & Universities: Small Programs,3920,92,848,112,0,37650,99,89337,112,1
67,Western New England University,Doctoral/Professional Universities,3430,88,593,180,2,40380,99,91802,182,1
60,Westfield State University,Master's Colleges & Universities: Larger Programs,4702,82,982,246,0,11139,96,94792,246,0
80,Wheaton College (Massachusetts),Baccalaureate Colleges: Arts & Sciences Focus,1667,79,385,0,0,58180,99,80244,0,1
95,Williams College,Baccalaureate Colleges: Arts & Sciences Focus,2222,8,513,37,0,59660,55,130446,37,1
89,Worcester Polytechnic Institute,Doctoral Universities: High Research Activity,7308,57,1197,684,69,55731,97,120110,753,1
59,Worcester State University,Master's Colleges & Universities: Larger Programs,5311,88,1029,286,0,10586,100,84688,286,0
51,Adrian College,Baccalaureate Colleges: Diverse Fields,1821,69,324,49,0,39107,99,56454,49,0
59,Albion College,Baccalaureate Colleges: Arts & Sciences Focus,1456,67,306,0,0,53090,100,68730,0,0
62,Alma College,Baccalaureate Colleges: Diverse Fields,1260,65,292,0,0,43872,100,67568,0,0
44,Alpena Community College,Baccalaureate/Associate's Colleges: Associate's Dominant,1536,NA,2,0,0,4830,100,88325,0,0
71,Andrews University,Doctoral/Professional Universities,2858,91,309,323,85,31782,98,61230,408,1
61,Aquinas College,Baccalaureate Colleges: Arts & Sciences Focus,1265,91,326,24,0,36084,100,59535,24,0
20,Baker College,Master's Colleges & Universities: Medium Programs,4106,37,892,141,12,12420,97,56249,153,0
32,Bay de Noc Community College,Associate's Colleges: Mixed Transfer/Career & Technical-Mixed Traditional/Nontraditional,1969,NA,NA,NA,NA,5400,100,55899,NA,0
77,Calvin University,Master's Colleges & Universities: Small Programs,3231,74,715,74,0,38240,100,82185,74,1
NA,Calvin Theological Seminary,Special Focus Four-Year: Faith-Related Institutions,239,NA,0,55,2,NA,NA,70507,57,NA
NA,Michigan School of Psychology,Special Focus Four-Year: Other Health Professions Schools,178,NA,0,72,0,NA,NA,78270,72,NA
62,Central Michigan University,Doctoral Universities: High Research Activity,14557,79,2844,1356,94,13200,99,92172,1450,0
16,Mott Community College,Associate's Colleges: High Transfer-High Traditional,5969,NA,NA,NA,NA,4235,99,76739,NA,0
64,Cleary University,Special Focus Four-Year: Business & Management Schools,891,68,84,73,0,22230,86,51964,73,0
52,Concordia University Ann Arbor,Master's Colleges & Universities: Small Programs,1203,70,172,39,0,31830,95,57166,39,0
NA,Cranbrook Academy of Art,"Special Focus Four-Year: Arts, Music & Design Schools",129,NA,0,63,0,NA,NA,87485,63,NA
64,College for Creative Studies,"Special Focus Four-Year: Arts, Music & Design Schools",1517,49,298,24,0,47585,98,103492,24,0
50,Davenport University,Master's Colleges & Universities: Larger Programs,5073,99,935,328,0,20964,100,62933,328,0
15,Delta College,Associate's Colleges: High Transfer-High Traditional,7056,NA,NA,NA,NA,4370,100,93254,NA,0
61,MIAT College of Technology,Special Focus Two-Year: Technical Professions,1303,99,NA,NA,NA,14513,88,48462,NA,0
73,University of Detroit Mercy,Doctoral/Professional Universities,5360,91,633,446,12,30154,100,86676,458,1
45,Eastern Michigan University,Doctoral Universities: High Research Activity,14018,83,2971,944,24,14060,96,91896,968,0
49,Ferris State University,Doctoral/Professional Universities,10072,88,1912,198,22,12740,97,90879,220,0
36,Glen Oaks Community College,Associate's Colleges: Mixed Transfer/Career & Technical-High Nontraditional,1069,NA,NA,NA,NA,3960,99,75224,NA,0
69,Kettering University,Master's Colleges & Universities: Medium Programs,1769,81,373,161,0,44380,100,83026,161,1
29,Gogebic Community College,Associate's Colleges: High Career & Technical-High Traditional,837,NA,NA,NA,NA,5294,83,68325,NA,0
53,Grace Christian University,Baccalaureate Colleges: Diverse Fields,1031,100,102,24,0,14400,100,46083,24,0
62,Cornerstone University,Master's Colleges & Universities: Larger Programs,1781,82,317,153,3,27040,100,59144,156,0
19,Grand Rapids Community College,Associate's Colleges: Mixed Transfer/Career & Technical-High Traditional,11803,NA,NA,NA,NA,3969,58,84912,NA,0
66,Grand Valley State University,Doctoral/Professional Universities,21648,90,4637,971,0,13560,95,87053,971,1
32,Great Lakes Christian College,Baccalaureate Colleges: Diverse Fields,133,NA,26,0,0,17220,100,47064,0,0
11,Henry Ford College,Baccalaureate/Associate's Colleges: Associate's Dominant,11204,NA,3,0,0,3310,84,94509,0,0
80,Hope College,Baccalaureate Colleges: Arts & Sciences Focus,3251,80,703,0,0,36650,100,76740,0,1
16,Jackson College,Baccalaureate/Associate's Colleges: Associate's Dominant,4244,NA,4,0,0,6420,100,63518,0,0
80,Kalamazoo College,Baccalaureate Colleges: Arts & Sciences Focus,1210,79,321,0,0,54522,100,77446,0,1
23,Kalamazoo Valley Community College,Associate's Colleges: High Transfer-Mixed Traditional/Nontraditional,6358,NA,NA,NA,NA,3852,89,98603,NA,0
8,Kellogg Community College,Associate's Colleges: High Career & Technical-High Nontraditional,3427,NA,NA,NA,NA,4545,100,85786,NA,0
34,Kirtland Community College,Associate's Colleges: High Career & Technical-High Nontraditional,1403,NA,NA,NA,NA,4560,87,57014,NA,0
21,Lake Michigan College,Baccalaureate/Associate's Colleges: Associate's Dominant,2543,NA,NA,NA,NA,4860,97,80581,NA,0
51,Lake Superior State University,Baccalaureate Colleges: Diverse Fields,1655,77,327,0,0,13200,96,63882,0,0
19,Lansing Community College,Associate's Colleges: Mixed Transfer/Career & Technical-High Traditional,9573,NA,NA,NA,NA,3920,100,78183,NA,0
66,Lawrence Technological University,Master's Colleges & Universities: Larger Programs,2966,82,388,221,3,37680,99,78617,224,1
12,Macomb Community College,Associate's Colleges: Mixed Transfer/Career & Technical-High Traditional,15946,NA,NA,NA,NA,3390,100,90223,NA,0
49,Madonna University,Master's Colleges & Universities: Medium Programs,2109,65,586,176,3,24900,100,65622,179,0
41,Rochester University,Baccalaureate Colleges: Diverse Fields,1167,71,215,12,0,25462,100,56817,12,0
93,University of Michigan-Ann Arbor,Doctoral Universities: Very High Research Activity,51225,18,8021,4731,892,16178,74,119112,5623,1
82,Michigan State University,Doctoral Universities: Very High Research Activity,50023,88,8878,2045,539,14750,94,116379,2584,1
68,Michigan Technological University,Doctoral Universities: High Research Activity,7063,94,1164,353,74,16966,100,101738,427,1
56,University of Michigan-Dearborn,Master's Colleges & Universities: Larger Programs,8223,54,1458,643,24,13816,93,100411,667,0
46,University of Michigan-Flint,Doctoral/Professional Universities,5985,66,1066,259,2,12750,100,89896,261,0
12,Mid Michigan College,Associate's Colleges: Mixed Transfer/Career & Technical-Mixed Traditional/Nontraditional,3382,NA,NA,NA,NA,5208,100,78169,NA,0
31,Monroe County Community College,Associate's Colleges: Mixed Transfer/Career & Technical-Mixed Traditional/Nontraditional,2398,NA,NA,NA,NA,4333,99,89947,NA,0
38,Montcalm Community College,Associate's Colleges: Mixed Transfer/Career & Technical-High Traditional,1603,NA,NA,NA,NA,4770,77,79204,NA,0
26,Muskegon Community College,Associate's Colleges: Mixed Transfer/Career & Technical-Mixed Traditional/Nontraditional,3446,NA,NA,NA,NA,6530,99,103348,NA,0
33,North Central Michigan College,Associate's Colleges: High Transfer-High Nontraditional,1560,NA,NA,NA,NA,4480,100,95724,NA,0
53,Northern Michigan University,Master's Colleges & Universities: Medium Programs,6970,71,1202,202,0,12172,100,78692,202,0
24,Northwestern Michigan College,Baccalaureate/Associate's Colleges: Associate's Dominant,3098,NA,38,0,0,4640,98,77302,0,0
63,Northwood University,Special Focus Four-Year: Business & Management Schools,2246,80,644,146,0,30520,100,67828,146,0
17,Oakland Community College,Associate's Colleges: High Transfer-Mixed Traditional/Nontraditional,13430,NA,NA,NA,NA,2780,71,88665,NA,0
58,Oakland University,Doctoral Universities: High Research Activity,16108,90,3516,796,62,13934,100,90076,858,0
44,Olivet College,Baccalaureate Colleges: Diverse Fields,919,85,178,23,0,31104,100,61903,23,0
54,Kuyper College,Baccalaureate Colleges: Diverse Fields,82,76,22,10,0,24630,100,47508,10,0
100,Sacred Heart Major Seminary,Baccalaureate Colleges: Arts & Sciences Focus,338,100,18,16,0,21272,NA,57027,16,1
50,Saginaw Valley State University,Master's Colleges & Universities: Larger Programs,7147,76,1265,279,0,11130,100,76023,279,0
17,Schoolcraft Community College District,Baccalaureate/Associate's Colleges: Associate's Dominant,7650,NA,2,0,0,4038,79,99487,0,0
51,Siena Heights University,Master's Colleges & Universities: Medium Programs,1857,65,550,82,0,28502,100,60630,82,0
25,St Clair County Community College,Associate's Colleges: High Transfer-Mixed Traditional/Nontraditional,3192,NA,NA,NA,NA,5491,82,86233,NA,0
32,Southwestern Michigan College,Associate's Colleges: Mixed Transfer/Career & Technical-High Traditional,1807,NA,NA,NA,NA,5556,94,65547,NA,0
60,Spring Arbor University,Master's Colleges & Universities: Larger Programs,2396,47,282,656,0,31080,100,53074,656,0
31,Finlandia University,Baccalaureate Colleges: Diverse Fields,450,67,66,0,0,24576,100,45366,0,0
NA,Western Michigan University-Thomas M. Cooley Law School,Special Focus Four-Year: Law Schools,564,NA,0,18,0,NA,NA,106976,18,NA
NA,Walsh College,Special Focus Four-Year: Business & Management Schools,1218,NA,278,342,0,NA,NA,88348,342,NA
28,Washtenaw Community College,Associate's Colleges: High Transfer-High Nontraditional,10622,NA,NA,NA,NA,2520,73,76134,NA,0
13,Wayne County Community College District,Associate's Colleges: High Transfer-High Nontraditional,12219,NA,NA,NA,NA,3042,88,78427,NA,0
60,Wayne State University,Doctoral Universities: Very High Research Activity,23630,75,3904,1826,218,14043,98,102185,2044,0
30,West Shore Community College,Associate's Colleges: Mixed Transfer/Career & Technical-High Nontraditional,992,NA,NA,NA,NA,3040,98,80952,NA,0
55,Western Michigan University,Doctoral Universities: High Research Activity,17000,85,3614,1015,126,13434,94,93833,1141,0
NA,Western Theological Seminary,Special Focus Four-Year: Faith-Related Institutions,433,NA,0,30,0,NA,NA,78117,30,NA
100,Academy College,Special Focus Four-Year: Engineering and Other Technology-Related Schools,105,NA,20,0,0,18644,89,45385,0,1
61,Alexandria Technical & Community College,Associate's Colleges: High Career & Technical-High Nontraditional,2865,NA,NA,NA,NA,5910,93,74054,NA,0
47,Anoka Technical College,Associate's Colleges: High Career & Technical-High Traditional,1580,NA,NA,NA,NA,6075,99,74151,NA,0
22,Anoka-Ramsey Community College,Associate's Colleges: High Transfer-High Nontraditional,7902,NA,NA,NA,NA,5515,100,75222,NA,0
56,Augsburg University,Master's Colleges & Universities: Larger Programs,3088,77,533,291,0,41007,100,74203,291,0
48,Riverland Community College,Associate's Colleges: Mixed Transfer/Career & Technical-High Nontraditional,3175,NA,NA,NA,NA,6060,92,72294,NA,0
36,Northwest Technical College,Associate's Colleges: High Career & Technical-High Nontraditional,721,NA,NA,NA,NA,6380,81,69526,NA,0
50,Bemidji State University,Master's Colleges & Universities: Small Programs,4023,78,934,88,0,9806,92,81987,88,0
57,Bethany Lutheran College,Baccalaureate Colleges: Arts & Sciences Focus,830,58,137,0,0,28660,100,64093,0,0
75,Bethel University,Doctoral/Professional Universities,3546,72,657,311,24,40080,98,74470,335,1
47,Central Lakes College-Brainerd,Associate's Colleges: Mixed Transfer/Career & Technical-High Nontraditional,4633,NA,NA,NA,NA,5954,86,73813,NA,0
91,Carleton College,Baccalaureate Colleges: Arts & Sciences Focus,2059,17,483,0,0,60225,79,119566,0,1
69,Concordia College at Moorhead,Baccalaureate Colleges: Arts & Sciences Focus,1903,66,372,16,0,28016,100,69735,16,1
51,Concordia University-Saint Paul,Master's Colleges & Universities: Larger Programs,5544,69,969,734,14,23900,100,62111,748,0
53,Dakota County Technical College,Associate's Colleges: High Career & Technical-High Traditional,2717,NA,NA,NA,NA,6208,76,73420,NA,0
74,Martin Luther College,Special Focus Four-Year: Other Special Focus Institutions,880,84,152,26,0,16910,99,43789,26,1
34,Lake Superior College,Associate's Colleges: High Career & Technical-High Nontraditional,3849,NA,NA,NA,NA,5616,97,70986,NA,0
42,Minnesota State Community and Technical College,Associate's Colleges: High Career & Technical-Mixed Traditional/Nontraditional,5282,NA,NA,NA,NA,5862,90,73640,NA,0
37,Minnesota West Community and Technical College,Associate's Colleges: High Career & Technical-High Nontraditional,3352,NA,NA,NA,NA,6286,92,72116,NA,0
76,Gustavus Adolphus College,Baccalaureate Colleges: Arts & Sciences Focus,2072,74,682,0,0,50490,95,70723,0,1
69,Hamline University,Master's Colleges & Universities: Larger Programs,2638,81,411,357,5,46221,100,74553,362,1
NA,Hazelden Betty Ford Graduate School of Addiction Studies,Special Focus Four-Year: Other Health Professions Schools,147,NA,0,73,0,NA,NA,63091,73,NA
33,Hennepin Technical College,Associate's Colleges: High Career & Technical-Mixed Traditional/Nontraditional,3974,NA,NA,NA,NA,5741,99,72399,NA,0
36,Minnesota North College,Associate's Colleges: High Career & Technical-Mixed Traditional/Nontraditional,3044,NA,NA,NA,NA,5773,90,71564,NA,0
18,Inver Hills Community College,Associate's Colleges: High Transfer-High Nontraditional,3459,NA,NA,NA,NA,5809,75,74527,NA,0
NA,Luther Seminary,Special Focus Four-Year: Faith-Related Institutions,410,NA,0,122,1,NA,NA,64633,123,NA
88,Macalester College,Baccalaureate Colleges: Arts & Sciences Focus,2175,28,543,0,0,60518,91,101677,0,1
26,South Central College,Associate's Colleges: High Career & Technical-Mixed Traditional/Nontraditional,2602,NA,NA,NA,NA,5966,99,72176,NA,0
